timestamp,Conductivity,Dissolved Oxygen,Salinity,Temperature(F),Turbidity,pH
8/1/2025,704.73,29.41,0.34,25.02,0.96,0
8/2/2025,699.66,41.1,0.35,23.63,0.53,0
8/3/2025,725.06,40.08,0.37,23.38,0.56,0
8/4/2025,745.39,48.8,0.38,23.48,0.86,0
8/5/2025,758.57,57.55,0.38,23.77,1.55,0
8/6/2025,748.27,31.65,0.37,23.9,1.79,0
8/7/2025,740.68,15.54,0.37,23.71,2.18,0
8/8/2025,752.75,12.22,0.38,23.67,3.08,0
8/9/2025,755.58,12.29,0.38,23.5,4.12,0
8/10/2025,766.41,10.57,0.38,23.55,3.84,0
8/11/2025,775.44,13.04,0.39,23.92,3.95,0
8/12/2025,784.89,15.87,0.39,24.19,4.32,0
8/13/2025,757.6,16.73,0.37,24.83,13.23,0
8/14/2025,570.69,9.03,0.28,25.01,44.56,0
8/15/2025,694.56,6.17,0.33,25.51,62.2,0
8/16/2025,752.06,5.55,0.36,25.95,28.22,0
8/17/2025,748.09,5.27,0.36,25.89,39.91,0
8/18/2025,764.46,6.27,0.37,25.54,17.97,0
8/19/2025,747.48,9.56,0.37,24.33,31.97,0
8/20/2025,742.57,6.1,0.37,23.7,37.86,0
8/21/2025,638.73,17.42,0.33,21.32,15.01,0
8/22/2025,672.84,17.01,0.35,21.15,4.18,0
8/23/2025,677.35,17.12,0.35,21.61,5.57,0
8/24/2025,693.28,21.88,0.36,21.95,4.2,0
8/25/2025,714.29,17.7,0.37,22.57,29.44,0
8/26/2025,706.47,27,0.36,22.55,8.85,0
8/27/2025,696.43,32.59,0.36,21.92,14,0
8/28/2025,694.15,33.88,0.36,21.34,2.75,0
8/29/2025,697.97,20.28,0.37,21.26,7.14,0
8/30/2025,692.45,28.19,0.37,20.68,4.19,0
8/31/2025,693.32,29.73,0.37,20.4,3.06,0
9/1/2025,697.72,32.59,0.37,20.45,5.42,0
9/2/2025,694.47,29.35,0.38,20.07,10.9,0
9/3/2025,699.46,22.06,0.38,20.32,2.96,0
9/4/2025,712.65,30.48,0.38,20.53,2.7,0
9/5/2025,559.97,34.53,0.29,20.81,30.27,0
9/6/2025,677.83,17.11,0.35,21.75,11.63,0
9/7/2025,627.07,30.49,0.33,21.41,7.79,0
9/8/2025,655.72,34.56,0.35,20.4,4.89,0
9/9/2025,658.97,34.14,0.36,19.93,5.18,0
9/10/2025,667.1,27.62,0.36,20.13,29.71,0
9/11/2025,653.51,44.61,0.36,19.65,12.95,0
9/12/2025,665.94,43.69,0.36,19.97,39.94,0
9/13/2025,676.57,55.82,0.36,20.27,5.58,0
9/14/2025,686.1,48.44,0.37,20.58,5.58,0
9/15/2025,693.21,44.98,0.37,20.81,6.35,0
9/16/2025,699.48,44.97,0.37,20.99,45.84,0
9/17/2025,677.73,52.02,0.37,18.99,9.73,0
9/18/2025,695.35,42.49,0.37,20.61,9.56,0
9/19/2025,700.39,50.78,0.37,20.82,6.48,0
9/20/2025,701.97,56.28,0.37,20.72,12.95,0
9/21/2025,696.32,53.45,0.38,20.14,8.65,0
9/22/2025,684.25,49.92,0.38,19.2,10.96,0
9/23/2025,690.66,46.78,0.38,19.47,10.07,0
9/24/2025,714.32,40.79,0.39,20.01,6.42,0
9/25/2025,746.41,11.49,0.4,20.54,7.76,0
9/26/2025,693.33,5.84,0.37,20.72,14.91,0
9/27/2025,693.71,14.38,0.37,20.81,7.85,0
9/28/2025,713.62,22.45,0.38,21.03,8.74,0
9/29/2025,720.61,21.69,0.38,21.2,8.45,0
9/30/2025,620.14,15.22,0.33,20.53,13.27,0
10/1/2025,674.61,25.8,0.37,19.66,21.96,0
10/2/2025,683.85,22.2,0.39,18.34,18.5,0
10/3/2025,677.72,14.5,0.39,17.57,42.72,0
10/4/2025,676.62,9.21,0.39,16.99,37.81,0
10/5/2025,701.85,9.72,0.4,17.81,56.21,0
10/6/2025,717.13,10.93,0.41,18.14,31.83,0
10/7/2025,740.78,8.21,0.41,18.67,14.26,0
10/8/2025,748.53,7.51,0.41,19.35,15.06,0
10/9/2025,629.65,24.14,0.36,17.62,9.13,0
10/10/2025,648.78,27.89,0.39,15.45,15.71,0
10/11/2025,700.78,7.2,0.42,15.85,26.1,0
10/12/2025,708.36,6.6,0.42,15.86,52.3,0
10/13/2025,420.04,52.8,0.26,14.33,13.59,0
10/14/2025,454.01,41.31,0.28,14.34,19.61,0
10/15/2025,514.09,35.47,0.31,14.91,26.99,0
10/16/2025,511.22,34.07,0.31,14.55,21.81,0
10/17/2025,490.43,36.85,0.31,13.35,28.1,0
10/18/2025,494.62,36.27,0.31,12.97,29.5,0
10/19/2025,520.2,36.94,0.33,13.17,32.7,0
10/20/2025,550.37,24.64,0.34,14.01,29.06,0
10/21/2025,539.01,37.01,0.34,13.88,31.48,0
