measurement,deployment_id,timestamp,sensors__Cond,sensors__DOpct,sensors__Sal,sensors__Temp,sensors__Turb,sensors__pH,description
Alan,17,2023-11-14T00:00:00+00:00,533.2,112,0.4,7.299,0.37,7.44,Autumn
Alan,17,2023-11-14T00:15:00+00:00,532.8,113.2,0.4,7.312,0.4,7.45,
Alan,17,2023-11-14T00:30:00+00:00,533.1,112.5,0.4,7.317,0.34,7.46,
Alan,17,2023-11-14T00:45:00+00:00,531.6,105.9,0.39,7.3,0.37,7.44,
Alan,17,2023-11-14T01:00:00+00:00,530.8,104.1,0.39,7.302,0.37,7.43,
Alan,17,2023-11-14T01:15:00+00:00,530.2,103.3,0.39,7.311,0.39,7.43,
Alan,17,2023-11-14T01:30:00+00:00,530.6,103.3,0.39,7.337,0.4,7.43,
Alan,17,2023-11-14T01:45:00+00:00,531,103.4,0.39,7.343,0.38,7.43,
Alan,17,2023-11-14T02:00:00+00:00,531.3,103.8,0.39,7.365,0.37,7.43,
Alan,17,2023-11-14T02:15:00+00:00,532.7,105.3,0.39,7.401,0.47,7.43,
Alan,17,2023-11-14T02:30:00+00:00,536.1,108.5,0.4,7.449,0.44,7.44,
Alan,17,2023-11-14T02:45:00+00:00,537.1,108.9,0.4,7.484,0.56,7.44,
Alan,17,2023-11-14T03:00:00+00:00,538.3,109.3,0.4,7.519,0.57,7.43,
Alan,17,2023-11-14T03:15:00+00:00,542.5,110.5,0.4,7.573,0.54,7.43,
Alan,17,2023-11-14T03:30:00+00:00,541.4,110.3,0.4,7.544,0.54,7.43,
Alan,17,2023-11-14T03:45:00+00:00,544.6,110.2,0.4,7.651,0.52,7.44,
Alan,17,2023-11-14T04:00:00+00:00,544.4,110.1,0.4,7.667,0.87,7.44,
Alan,17,2023-11-14T04:15:00+00:00,544.7,107.6,0.4,7.615,0.53,7.41,
Alan,17,2023-11-14T04:30:00+00:00,542.6,109.6,0.4,7.57,0.49,7.42,
Alan,17,2023-11-14T04:45:00+00:00,546.2,107.6,0.4,7.609,1,7.41,
Alan,17,2023-11-14T05:00:00+00:00,544.1,106.5,0.4,7.63,0.91,7.41,
