measurement,deployment_id,timestamp,sensors__Cond,sensors__DOpct,sensors__Sal,sensors__Temp,sensors__Turb,sensors__pH,description,time
Alan,17,2023-08-14T00:00:00+00:00,314.9,82.6,0.16,22.65,25.06,7.43,Summer,0
Alan,17,2023-08-14T00:15:00+00:00,311.1,87.5,0.16,22.65,23.21,7.41,,1
Alan,17,2023-08-14T00:30:00+00:00,313.9,84.2,0.16,22.67,25.67,7.41,,2
Alan,17,2023-08-14T00:45:00+00:00,314.9,84.1,0.16,22.71,26.11,7.4,,3
Alan,17,2023-08-14T01:00:00+00:00,314.8,82.1,0.16,22.73,26.56,7.42,,4
Alan,17,2023-08-14T01:15:00+00:00,315.2,81.0,0.16,22.74,28.45,7.4,,5
Alan,17,2023-08-14T01:30:00+00:00,314.2,79.77,0.16,22.74,26.93,7.39,,6
Alan,17,2023-08-14T01:45:00+00:00,312.2,73.28,0.16,22.75,26.89,7.38,,7
Alan,17,2023-08-14T02:00:00+00:00,311.5,78.0,0.15,22.76,26.94,7.37,,8
Alan,17,2023-08-14T02:15:00+00:00,308.7,90.6,0.15,22.76,27.3,7.39,,9
Alan,17,2023-08-14T02:30:00+00:00,312.3,95.6,0.16,22.78,27.12,7.42,,10
Alan,17,2023-08-14T02:45:00+00:00,315.5,94.2,0.16,22.8,28.29,7.44,,11
Alan,17,2023-08-14T03:00:00+00:00,327.6,86.5,0.16,22.83,27.86,7.44,,12
Alan,17,2023-08-14T03:15:00+00:00,329.1,85.0,0.16,22.85,27.89,7.43,,13
Alan,17,2023-08-14T03:30:00+00:00,333.0,83.9,0.17,22.86,29.02,7.42,,14
Alan,17,2023-08-14T03:45:00+00:00,336.1,79.14,0.17,22.85,25.85,7.42,,15
Alan,17,2023-08-14T04:00:00+00:00,377.3,68.23,0.19,22.97,27.76,7.38,,16
Alan,17,2023-08-14T04:15:00+00:00,425.2,54.63,0.21,23.09,27.5,7.31,,17
Alan,17,2023-08-14T04:30:00+00:00,448.9,50.47,0.22,23.1,27.76,7.28,,18
Alan,17,2023-08-14T04:45:00+00:00,460.9,44.71,0.23,23.14,27.58,7.26,,19
Alan,17,2023-08-14T05:00:00+00:00,439.1,50.19,0.22,23.05,27.23,7.26,,20
Alan,17,2023-08-14T05:15:00+00:00,456.4,48.1,0.23,23.02,26.86,7.24,,21
Alan,17,2023-08-14T05:30:00+00:00,395.5,61.17,0.2,22.97,25.73,7.28,,22
Alan,17,2023-08-14T05:45:00+00:00,440.2,51.93,0.22,23.03,25.68,7.26,,23
Alan,17,2023-08-14T06:00:00+00:00,408.3,60.92,0.2,22.95,29.04,7.27,,24
Alan,17,2023-08-14T06:15:00+00:00,416.3,55.18,0.21,22.95,26.42,7.27,,25
Alan,17,2023-08-14T06:30:00+00:00,417.2,51.65,0.21,22.94,26.04,7.26,,26
Alan,17,2023-08-14T06:45:00+00:00,418.6,48.88,0.21,22.93,26.31,7.25,,27
Alan,17,2023-08-14T07:00:00+00:00,419.2,49.78,0.21,22.91,26.14,7.24,,28
Alan,17,2023-08-14T07:15:00+00:00,428.7,43.76,0.21,22.85,29.74,7.23,,29
Alan,17,2023-08-14T07:30:00+00:00,428.7,40.34,0.21,22.89,22.07,7.22,,30
Alan,17,2023-08-14T07:45:00+00:00,418.4,42.83,0.21,22.83,22.19,7.22,,31
Alan,17,2023-08-14T08:00:00+00:00,417.6,39.96,0.21,22.83,21.25,7.22,,32
Alan,17,2023-08-14T08:15:00+00:00,420.1,36.03,0.21,22.8,22.13,7.21,,33
Alan,17,2023-08-14T08:30:00+00:00,425.7,29.39,0.21,22.78,21.98,7.19,,34
Alan,17,2023-08-14T08:45:00+00:00,436.7,24.29,0.22,22.78,21.88,7.18,,35
Alan,17,2023-08-14T09:00:00+00:00,439.9,21.2,0.22,22.78,21.98,7.17,,36
Alan,17,2023-08-14T09:15:00+00:00,438.7,20.9,0.22,22.75,21.79,7.17,,37
Alan,17,2023-08-14T09:30:00+00:00,439.1,16.89,0.22,22.74,22.01,7.16,,38
Alan,17,2023-08-14T09:45:00+00:00,452.0,13.47,0.23,22.74,22.3,7.15,,39
Alan,17,2023-08-14T10:00:00+00:00,454.5,11.66,0.23,22.74,21.59,7.15,,40
Alan,17,2023-08-14T10:15:00+00:00,466.6,10.41,0.23,22.74,22.83,7.15,,41
Alan,17,2023-08-14T10:30:00+00:00,464.6,10.02,0.23,22.71,22.89,7.15,,42
Alan,17,2023-08-14T10:45:00+00:00,468.9,9.74,0.24,22.7,22.28,7.15,,43
Alan,17,2023-08-14T11:00:00+00:00,482.6,7.41,0.24,22.7,20.37,7.14,,44
Alan,17,2023-08-14T11:15:00+00:00,488.9,6.29,0.25,22.7,22.84,7.15,,45
Alan,17,2023-08-14T11:30:00+00:00,491.9,6.59,0.25,22.68,20.88,7.15,,46
Alan,17,2023-08-14T11:45:00+00:00,496.4,6.53,0.25,22.64,20.25,7.15,,47
Alan,17,2023-08-14T12:00:00+00:00,498.6,6.17,0.25,22.65,21.08,7.16,,48
Alan,17,2023-08-14T12:15:00+00:00,500.3,4.6,0.25,22.65,20.02,7.16,,49
Alan,17,2023-08-14T12:30:00+00:00,502.1,4.55,0.25,22.63,20.46,7.16,,50
Alan,17,2023-08-14T12:45:00+00:00,503.6,5.7,0.25,22.61,19.45,7.16,,51
Alan,17,2023-08-14T13:00:00+00:00,502.7,5.1,0.25,22.6,20.19,7.16,,52
Alan,17,2023-08-14T13:15:00+00:00,507.8,6.23,0.26,22.61,20.03,7.16,,53
Alan,17,2023-08-14T13:30:00+00:00,508.9,4.47,0.26,22.59,21.11,7.17,,54
Alan,17,2023-08-14T13:45:00+00:00,507.6,7.81,0.26,22.57,20.56,7.17,,55
Alan,17,2023-08-14T14:00:00+00:00,512.1,9.04,0.26,22.55,20.09,7.18,,56
Alan,17,2023-08-14T14:15:00+00:00,501.3,11.41,0.25,22.52,23.12,7.18,,57
Alan,17,2023-08-14T14:30:00+00:00,515.5,13.64,0.26,22.53,27.39,7.18,,58
Alan,17,2023-08-14T14:45:00+00:00,505.8,12.86,0.26,22.53,20.05,7.18,,59
Alan,17,2023-08-14T15:00:00+00:00,479.5,18.07,0.24,22.64,19.79,7.19,,60
Alan,17,2023-08-14T15:15:00+00:00,503.7,15.98,0.26,22.54,28.02,7.19,,61
Alan,17,2023-08-14T15:30:00+00:00,502.0,19.47,0.25,22.55,20.41,7.19,,62
Alan,17,2023-08-14T15:45:00+00:00,500.5,18.82,0.25,22.54,19.63,7.2,,63
Alan,17,2023-08-14T16:00:00+00:00,504.2,22.53,0.26,22.47,19.9,7.2,,64
Alan,17,2023-08-14T16:15:00+00:00,497.5,22.42,0.25,22.57,20.18,7.2,,65
Alan,17,2023-08-14T16:30:00+00:00,494.9,24.2,0.25,22.56,22.63,7.21,,66
Alan,17,2023-08-14T16:45:00+00:00,493.4,26.57,0.25,22.56,22.39,7.22,,67
Alan,17,2023-08-14T17:00:00+00:00,494.4,29.25,0.25,22.57,23.36,7.22,,68
Alan,17,2023-08-14T17:15:00+00:00,485.5,32.62,0.24,22.67,22.87,7.23,,69
Alan,17,2023-08-14T17:30:00+00:00,489.2,36.26,0.25,22.63,29.2,7.25,,70
Alan,17,2023-08-14T17:45:00+00:00,499.9,41.51,0.25,22.68,23.21,7.25,,71
