measurement,deployment_id,timestamp,sensors__Cond,sensors__DOpct,sensors__Sal,sensors__Temp,sensors__Turb,sensors__pH,description,time
Alan,17,2024-06-03T00:00:00+00:00,587.5,98.3,0.3,22.19,380.3,8.15,Tornadoes and flash flooding affected the region,0
Alan,17,2024-06-03T00:15:00+00:00,571.8,99.3,0.29,22.23,399.4,8.11,,1
Alan,17,2024-06-03T00:30:00+00:00,580.4,103.7,0.3,22.25,415.7,8.08,,2
Alan,17,2024-06-03T00:45:00+00:00,610.9,111.0,0.31,22.32,446.3,8.04,,3
Alan,17,2024-06-03T01:00:00+00:00,620.1,121.3,0.32,22.33,439.4,7.99,,4
Alan,17,2024-06-03T01:15:00+00:00,636.5,119.6,0.33,22.36,448.6,7.95,,5
Alan,17,2024-06-03T01:30:00+00:00,655.8,123.2,0.34,22.4,452.3,7.91,,6
Alan,17,2024-06-03T01:45:00+00:00,653.3,131.9,0.33,22.4,446.6,7.88,,7
Alan,17,2024-06-03T02:00:00+00:00,615.8,137.9,0.32,22.31,446.7,7.89,,8
Alan,17,2024-06-03T02:15:00+00:00,600.9,137.4,0.31,22.27,438.7,7.92,,9
Alan,17,2024-06-03T02:30:00+00:00,630.1,133.8,0.32,22.34,435.3,7.89,,10
Alan,17,2024-06-03T02:45:00+00:00,622.3,135.4,0.32,22.32,429.2,7.87,,11
Alan,17,2024-06-03T03:00:00+00:00,624.6,144.2,0.32,22.31,423.5,7.87,,12
Alan,17,2024-06-03T03:15:00+00:00,621.9,119.8,0.32,22.3,422.5,7.86,,13
Alan,17,2024-06-03T03:30:00+00:00,632.7,129.1,0.32,22.32,422.6,7.83,,14
Alan,17,2024-06-03T03:45:00+00:00,585.2,131.3,0.3,22.28,426.9,7.82,,15
Alan,17,2024-06-03T04:00:00+00:00,578.5,120.3,0.3,22.21,426.1,7.86,,16
Alan,17,2024-06-03T04:15:00+00:00,587.1,120.9,0.3,22.25,427.4,7.84,,17
Alan,17,2024-06-03T04:30:00+00:00,641.1,113.8,0.33,22.32,421.7,7.77,,18
Alan,17,2024-06-03T04:45:00+00:00,642.3,119.1,0.33,22.33,405.8,7.74,,19
Alan,17,2024-06-03T05:00:00+00:00,631.6,113.7,0.32,22.32,403.8,7.74,,20
Alan,17,2024-06-03T05:15:00+00:00,629.2,111.8,0.32,22.33,400.2,7.74,,21
Alan,17,2024-06-03T05:30:00+00:00,621.7,117.5,0.32,22.35,385.0,7.74,,22
Alan,17,2024-06-03T05:45:00+00:00,622.0,113.4,0.32,22.33,379.4,7.72,,23
Alan,17,2024-06-03T06:00:00+00:00,609.3,119.2,0.31,22.3,373.6,7.74,,24
Alan,17,2024-06-03T06:15:00+00:00,599.5,121.8,0.31,22.29,365.7,7.75,,25
Alan,17,2024-06-03T06:30:00+00:00,606.6,116.7,0.31,22.32,429.1,7.72,,26
Alan,17,2024-06-03T06:45:00+00:00,611.4,118.2,0.31,22.38,413.3,7.72,,27
Alan,17,2024-06-03T07:00:00+00:00,603.3,119.3,0.31,22.35,407.8,7.71,,28
Alan,17,2024-06-03T07:15:00+00:00,602.9,118.2,0.31,22.38,387.4,7.71,,29
Alan,17,2024-06-03T07:30:00+00:00,590.2,113.8,0.3,22.32,384.4,7.69,,30
Alan,17,2024-06-03T07:45:00+00:00,598.3,111.4,0.31,22.36,366.9,7.66,,31
Alan,17,2024-06-03T08:00:00+00:00,589.9,105.0,0.3,22.35,358.4,7.64,,32
Alan,17,2024-06-03T08:15:00+00:00,577.5,89.8,0.3,22.33,359.5,7.63,,33
Alan,17,2024-06-03T08:30:00+00:00,561.0,92.9,0.29,22.29,350.5,7.64,,34
Alan,17,2024-06-03T08:45:00+00:00,560.3,74.54,0.29,22.27,335.3,7.62,,35
Alan,17,2024-06-03T09:00:00+00:00,555.6,77.4,0.28,22.22,337.3,7.63,,36
Alan,17,2024-06-03T09:15:00+00:00,547.6,83.4,0.28,22.17,322.6,7.62,,37
Alan,17,2024-06-03T09:30:00+00:00,549.6,91.3,0.28,22.09,315.5,7.64,,38
Alan,17,2024-06-03T09:45:00+00:00,540.5,91.9,0.28,22.11,307.1,7.62,,39
Alan,17,2024-06-03T10:00:00+00:00,543.5,93.7,0.28,22.0,344.6,7.63,,40
Alan,17,2024-06-03T10:15:00+00:00,538.8,94.3,0.28,21.94,339.2,7.65,,41
Alan,17,2024-06-03T10:30:00+00:00,539.8,94.0,0.28,22.0,326.2,7.63,,42
Alan,17,2024-06-03T10:45:00+00:00,543.4,92.4,0.28,21.96,315.3,7.63,,43
Alan,17,2024-06-03T11:00:00+00:00,540.6,98.7,0.28,21.98,298.5,7.64,,44
Alan,17,2024-06-03T11:15:00+00:00,534.3,99.6,0.27,21.94,295.5,7.65,,45
Alan,17,2024-06-03T11:30:00+00:00,559.7,92.4,0.29,21.98,302.9,7.6,,46
Alan,17,2024-06-03T11:45:00+00:00,537.0,95.3,0.28,21.96,305.7,7.61,,47
Alan,17,2024-06-03T12:00:00+00:00,531.8,101.6,0.27,21.9,312.8,7.64,,48
Alan,17,2024-06-03T12:15:00+00:00,523.9,103.3,0.27,21.96,306.4,7.69,,49
Alan,17,2024-06-03T12:30:00+00:00,522.9,104.0,0.27,21.97,303.5,7.73,,50
Alan,17,2024-06-03T12:45:00+00:00,520.4,107.2,0.27,22.02,294.6,7.76,,51
Alan,17,2024-06-03T13:00:00+00:00,520.7,106.4,0.27,21.95,292.2,7.78,,52
Alan,17,2024-06-03T13:15:00+00:00,519.4,108.7,0.27,21.92,286.9,7.81,,53
Alan,17,2024-06-03T13:30:00+00:00,518.1,103.4,0.27,21.97,286.6,7.83,,54
