measurement,deployment_id,timestamp,sensors__Cond,sensors__DOpct,sensors__Sal,sensors__Temp,sensors__Turb,sensors__lat,sensors__lon,sensors__pH,description,time
Alan,17,2023-07-23T00:00:00+00:00,397.0,104.7,0.19,25.41,6.13,,,7.58,"Temperatures reached the upper 90s to 100 degrees Fahrenheit, prompting health advisories and the opening of cooling centers across the city to help residents cope with the extreme heat.",0
Alan,17,2023-07-23T00:15:00+00:00,401.8,106.4,0.19,25.45,6.11,,,7.6,,1
Alan,17,2023-07-23T00:30:00+00:00,404.7,105.1,0.19,25.43,6.04,,,7.57,,2
Alan,17,2023-07-23T00:45:00+00:00,417.1,107.7,0.2,25.38,6.44,,,7.59,,3
Alan,17,2023-07-23T01:00:00+00:00,415.4,105.6,0.2,25.45,6.22,,,7.56,,4
Alan,17,2023-07-23T01:15:00+00:00,420.3,105.1,0.2,25.44,6.23,,,7.55,,5
Alan,17,2023-07-23T01:30:00+00:00,431.7,107.3,0.2,25.46,5.97,,,7.54,,6
Alan,17,2023-07-23T01:45:00+00:00,441.5,104.2,0.21,25.46,6.42,,,7.53,,7
Alan,17,2023-07-23T02:00:00+00:00,444.9,101.5,0.21,25.46,6.3,,,7.52,,8
Alan,17,2023-07-23T02:15:00+00:00,443.0,100.9,0.21,25.46,6.39,,,7.52,,9
Alan,17,2023-07-23T02:30:00+00:00,447.6,97.9,0.21,25.46,6.33,,,7.52,,10
Alan,17,2023-07-23T02:45:00+00:00,448.2,104.9,0.21,25.46,6.48,,,7.51,,11
Alan,17,2023-07-23T03:00:00+00:00,440.5,115.2,0.21,25.46,6.56,,,7.55,,12
Alan,17,2023-07-23T03:15:00+00:00,444.8,116.2,0.21,25.44,6.66,,,7.57,,13
Alan,17,2023-07-23T03:30:00+00:00,454.6,120.9,0.22,25.44,7.24,,,7.57,,14
Alan,17,2023-07-23T03:45:00+00:00,445.0,104.9,0.21,25.44,7.3,,,7.57,,15
Alan,17,2023-07-23T04:00:00+00:00,457.9,126.0,0.22,25.44,7.45,,,7.6,,16
Alan,17,2023-07-23T04:15:00+00:00,438.1,122.0,0.21,25.42,7.25,,,7.6,,17
Alan,17,2023-07-23T04:30:00+00:00,443.6,114.3,0.21,25.44,7.57,,,7.57,,18
Alan,17,2023-07-23T04:45:00+00:00,452.2,111.4,0.21,25.44,7.26,,,7.54,,19
Alan,17,2023-07-23T05:00:00+00:00,459.6,115.3,0.22,25.47,6.73,,,7.46,,20
Alan,17,2023-07-23T05:15:00+00:00,457.1,114.6,0.22,25.43,6.89,,,7.51,,21
Alan,17,2023-07-23T05:30:00+00:00,489.9,120.3,0.23,25.45,7.48,,,7.51,,22
Alan,17,2023-07-23T05:45:00+00:00,426.6,120.1,0.2,25.39,7.56,,,7.53,,23
Alan,17,2023-07-23T06:00:00+00:00,450.3,124.0,0.21,25.42,7.51,,,7.54,,24
Alan,17,2023-07-23T06:15:00+00:00,443.9,127.3,0.21,25.41,7.44,,,7.54,,25
Alan,17,2023-07-23T06:30:00+00:00,450.1,132.7,0.21,25.39,7.47,,,7.57,,26
Alan,17,2023-07-23T06:45:00+00:00,464.4,133.0,0.22,25.4,7.64,,,7.57,,27
Alan,17,2023-07-23T07:00:00+00:00,551.4,95.6,0.26,25.46,7.52,,,7.42,,28
Alan,17,2023-07-23T07:15:00+00:00,525.3,122.8,0.25,25.47,7.84,,,7.46,,29
Alan,17,2023-07-23T07:30:00+00:00,517.8,126.1,0.25,25.44,8.12,,,7.46,,30
Alan,17,2023-07-23T07:45:00+00:00,525.2,124.4,0.25,25.46,8.83,,,7.45,,31
Alan,17,2023-07-23T08:00:00+00:00,521.7,121.5,0.25,25.42,8.66,,,7.45,,32
Alan,17,2023-07-23T08:15:00+00:00,519.2,118.2,0.25,25.42,10.23,,,7.42,,33
Alan,17,2023-07-23T08:30:00+00:00,525.3,14.23,0.25,25.4,23.01,,,7.41,,34
Alan,17,2023-07-23T08:45:00+00:00,527.6,24.81,0.25,25.39,22.0,,,7.38,,35
Alan,17,2023-07-23T09:00:00+00:00,510.2,33.29,0.24,25.36,21.84,,,7.35,,36
Alan,17,2023-07-23T09:15:00+00:00,448.3,63.02,0.21,25.29,9.65,,,7.33,,37
Alan,17,2023-07-23T09:30:00+00:00,488.5,79.02,0.23,25.2,9.0,,,7.31,,38
Alan,17,2023-07-23T09:45:00+00:00,484.5,66.31,0.23,25.19,8.18,,,7.3,,39
Alan,17,2023-07-23T10:00:00+00:00,484.2,74.51,0.23,25.17,7.96,,,7.34,,40
Alan,17,2023-07-23T10:15:00+00:00,460.5,74.24,0.22,25.07,8.97,,,7.39,,41
Alan,17,2023-07-23T10:30:00+00:00,432.6,72.9,0.21,25.04,7.58,,,7.35,,42
Alan,17,2023-07-23T10:45:00+00:00,419.5,66.56,0.2,24.97,7.62,,,7.39,,43
Alan,17,2023-07-23T11:00:00+00:00,416.9,60.44,0.2,24.93,9.19,,,7.36,,44
Alan,17,2023-07-23T11:15:00+00:00,411.2,70.84,0.2,24.85,7.69,,,7.38,,45
Alan,17,2023-07-23T11:30:00+00:00,392.2,65.04,0.19,24.82,8.35,,,7.39,,46
Alan,17,2023-07-23T11:45:00+00:00,396.7,67.29,0.19,24.75,8.79,,,7.4,,47
Alan,17,2023-07-23T12:00:00+00:00,394.2,71.59,0.19,24.76,7.71,,,7.4,,48
Alan,17,2023-07-23T12:15:00+00:00,390.6,72.72,0.19,24.75,8.57,,,7.41,,49
Alan,17,2023-07-23T12:30:00+00:00,387.8,72.7,0.19,24.75,8.78,,,7.46,,50
Alan,17,2023-07-23T12:45:00+00:00,374.5,79.86,0.18,24.8,7.7,,,7.52,,51
Alan,17,2023-07-23T13:00:00+00:00,385.8,80.8,0.19,24.69,7.9,,,7.54,,52
Alan,17,2023-07-23T13:15:00+00:00,379.1,82.3,0.18,24.72,7.89,,,7.55,,53
Alan,17,2023-07-23T13:30:00+00:00,402.4,77.48,0.19,24.69,8.03,,,7.53,,54
Alan,17,2023-07-23T13:45:00+00:00,396.4,77.76,0.19,24.67,8.23,,,7.51,,55
Alan,17,2023-07-23T14:00:00+00:00,390.4,78.59,0.19,24.69,8.08,,,7.51,,56
Alan,17,2023-07-23T14:15:00+00:00,386.4,77.84,0.19,24.69,10.45,,,7.51,,57
Alan,17,2023-07-23T14:30:00+00:00,387.4,79.18,0.19,24.66,8.26,,,7.52,,58
Alan,17,2023-07-23T14:45:00+00:00,395.6,78.84,0.19,24.71,8.48,,,7.51,,59
Alan,17,2023-07-23T15:00:00+00:00,377.3,77.85,0.18,24.72,7.94,,,7.5,,60
Alan,17,2023-07-23T15:15:00+00:00,377.8,74.63,0.18,24.74,8.58,,,7.5,,61
Alan,17,2023-07-23T15:30:00+00:00,373.9,82.1,0.18,24.75,8.34,,,7.53,,62
Alan,17,2023-07-23T15:45:00+00:00,380.1,84.1,0.18,24.69,7.91,,,7.54,,63
Alan,17,2023-07-23T16:00:00+00:00,377.3,87.8,0.18,24.71,8.31,,,7.58,,64
Alan,17,2023-07-23T16:15:00+00:00,374.7,89.5,0.18,24.82,8.85,,,7.59,,65
Alan,17,2023-07-23T16:30:00+00:00,373.2,88.1,0.18,24.9,8.9,,,7.59,,66
Alan,17,2023-07-23T16:45:00+00:00,371.8,87.1,0.18,24.93,8.13,,,7.61,,67
Alan,17,2023-07-23T17:00:00+00:00,370.2,91.6,0.18,25.0,8.46,,,7.64,,68
Alan,17,2023-07-23T17:15:00+00:00,379.4,95.0,0.18,24.97,8.66,,,7.65,,69
Alan,17,2023-07-23T17:30:00+00:00,379.1,100.7,0.18,25.05,8.1,,,7.67,,70
Alan,17,2023-07-23T17:45:00+00:00,381.4,99.0,0.18,25.11,8.31,,,7.68,,71
Alan,17,2023-07-23T18:00:00+00:00,379.7,101.8,0.18,25.15,7.72,,,7.7,,72
Alan,17,2023-07-23T18:15:00+00:00,380.1,108.4,0.18,25.14,8.3,,,7.74,,73
Alan,17,2023-07-23T18:30:00+00:00,387.4,104.6,0.18,25.24,8.43,,,7.73,,74
Alan,17,2023-07-23T18:45:00+00:00,381.7,106.7,0.18,25.24,7.74,,,7.71,,75
Alan,17,2023-07-23T19:00:00+00:00,396.9,109.3,0.19,25.25,8.3,,,7.69,,76
Alan,17,2023-07-23T19:15:00+00:00,397.8,110.4,0.19,25.3,8.34,,,7.7,,77
Alan,17,2023-07-23T19:30:00+00:00,394.9,114.1,0.19,25.35,8.57,,,7.75,,78
Alan,17,2023-07-23T19:45:00+00:00,394.8,122.4,0.19,25.38,8.7,,,7.81,,79
