measurement,deployment_id,timestamp,sensors__Cond,sensors__DOpct,sensors__Sal,sensors__Temp,sensors__Turb,sensors__pH,description,time
Alan,17,2023-07-09T00:00:00+00:00,266.7,71.34,0.12,25.61,20.22,7.33,"Heavy rainfall caused devastating flooding in southeastern New York, impacting Pleasantville and surrounding areas.",0
Alan,17,2023-07-09T00:15:00+00:00,290.3,74.5,0.14,25.78,19.96,7.34,,1
Alan,17,2023-07-09T00:30:00+00:00,277.5,70.77,0.13,25.79,19.28,7.36,,2
Alan,17,2023-07-09T00:45:00+00:00,313.1,72.12,0.15,25.85,20.38,7.38,,3
Alan,17,2023-07-09T01:00:00+00:00,321.6,75.7,0.15,25.95,19.37,7.4,,4
Alan,17,2023-07-09T01:15:00+00:00,365.2,25.65,0.17,26.03,19.68,7.43,,5
Alan,17,2023-07-09T01:30:00+00:00,390.3,30.47,0.18,26.09,22.92,7.45,,6
Alan,17,2023-07-09T01:45:00+00:00,409.9,54.39,0.19,26.12,19.09,7.47,,7
Alan,17,2023-07-09T02:00:00+00:00,422.5,62.19,0.2,26.18,21.37,7.48,,8
Alan,17,2023-07-09T02:15:00+00:00,444.4,68.19,0.21,26.22,18.75,7.48,,9
Alan,17,2023-07-09T02:30:00+00:00,462.6,70.62,0.22,26.27,19.21,7.49,,10
Alan,17,2023-07-09T02:45:00+00:00,465.5,83.3,0.22,26.3,19.25,7.53,,11
Alan,17,2023-07-09T03:00:00+00:00,484.4,74.48,0.23,26.31,17.95,7.53,,12
Alan,17,2023-07-09T03:15:00+00:00,501.5,80.1,0.23,26.34,17.63,7.54,,13
Alan,17,2023-07-09T03:30:00+00:00,512.1,79.91,0.24,26.38,17.24,7.59,,14
Alan,17,2023-07-09T03:45:00+00:00,514.8,81.3,0.24,26.37,16.98,7.61,,15
Alan,17,2023-07-09T04:00:00+00:00,512.0,76.79,0.24,26.37,16.68,7.61,,16
Alan,17,2023-07-09T04:15:00+00:00,521.1,78.13,0.24,26.37,16.38,7.61,,17
Alan,17,2023-07-09T04:30:00+00:00,523.5,72.39,0.24,26.38,16.2,7.61,,18
Alan,17,2023-07-09T04:45:00+00:00,532.2,70.41,0.25,26.4,16.17,7.59,,19
Alan,17,2023-07-09T05:00:00+00:00,545.1,73.48,0.25,26.41,16.4,7.6,,20
Alan,17,2023-07-09T05:15:00+00:00,549.5,72.6,0.26,26.41,15.86,7.62,,21
Alan,17,2023-07-09T05:30:00+00:00,554.7,67.14,0.26,26.42,15.92,7.62,,22
Alan,17,2023-07-09T05:45:00+00:00,538.2,73.41,0.25,26.31,16.97,7.63,,23
Alan,17,2023-07-09T06:00:00+00:00,539.7,73.21,0.25,26.4,16.32,7.63,,24
Alan,17,2023-07-09T06:15:00+00:00,555.0,68.98,0.26,26.41,16.13,7.64,,25
Alan,17,2023-07-09T06:30:00+00:00,562.1,72.0,0.26,26.41,32.23,7.64,,26
Alan,17,2023-07-09T06:45:00+00:00,572.5,71.47,0.27,26.41,16.36,7.64,,27
Alan,17,2023-07-09T07:00:00+00:00,583.0,66.81,0.27,26.45,16.07,7.66,,28
Alan,17,2023-07-09T07:15:00+00:00,584.9,65.4,0.27,26.4,16.15,7.67,,29
Alan,17,2023-07-09T07:30:00+00:00,581.1,63.55,0.27,26.43,16.24,7.68,,30
Alan,17,2023-07-09T07:45:00+00:00,587.5,68.4,0.28,26.41,16.09,7.67,,31
Alan,17,2023-07-09T08:00:00+00:00,586.8,67.08,0.27,26.41,15.95,7.67,,32
Alan,17,2023-07-09T08:15:00+00:00,583.3,66.59,0.27,26.37,15.44,7.66,,33
Alan,17,2023-07-09T08:30:00+00:00,571.2,63.14,0.27,26.36,15.35,7.64,,34
Alan,17,2023-07-09T08:45:00+00:00,580.3,64.73,0.27,26.38,15.71,7.62,,35
