measurement,deployment_id,timestamp,sensors__Cond,sensors__DOpct,sensors__Sal,sensors__Temp,sensors__Turb,sensors__pH,time
Ada,16,2024-06-10T15:45:00+00:00,510.9,125.0,0.26,21.85,16.72,8.12,0
Ada,16,2024-06-10T16:00:00+00:00,513.4,127.1,0.26,21.9,32.32,8.16,1
Ada,16,2024-06-10T16:15:00+00:00,510.6,123.7,0.26,21.85,12.49,8.19,2
Ada,16,2024-06-10T16:30:00+00:00,515.6,127.8,0.27,21.9,20.04,8.2,3
Ada,16,2024-06-10T16:45:00+00:00,514.3,131.8,0.26,21.99,13.9,8.23,4
Ada,16,2024-06-10T17:00:00+00:00,512.8,131.0,0.26,21.98,21.32,8.24,5
Ada,16,2024-06-10T17:15:00+00:00,515.4,139.6,0.26,22.07,12.36,8.35,6
Ada,16,2024-06-10T17:30:00+00:00,515.3,139.2,0.26,22.13,13.6,8.38,7
Ada,16,2024-06-10T17:45:00+00:00,520.8,141.1,0.27,22.16,12.77,8.41,8
Ada,16,2024-06-10T18:00:00+00:00,519.9,149.6,0.27,22.21,12.58,8.53,9
Ada,16,2024-06-10T18:15:00+00:00,510.3,148.1,0.26,22.12,35.69,8.55,10
Ada,16,2024-06-10T18:30:00+00:00,517.3,148.6,0.26,22.25,81.2,8.58,11
Ada,16,2024-06-10T18:45:00+00:00,517.7,149.6,0.26,22.3,12.33,8.62,12
Ada,16,2024-06-10T19:00:00+00:00,517.0,153.6,0.26,22.31,42.96,8.66,13
Ada,16,2024-06-10T19:15:00+00:00,520.0,163.4,0.26,22.52,16.61,8.73,14
Ada,16,2024-06-10T19:30:00+00:00,518.3,158.9,0.26,22.36,13.51,8.73,15
Ada,16,2024-06-10T19:45:00+00:00,516.3,157.6,0.26,22.36,13.54,8.73,16
Ada,16,2024-06-10T20:00:00+00:00,519.1,160.8,0.26,22.42,31.8,8.76,17
Ada,16,2024-06-10T20:15:00+00:00,520.1,165.9,0.26,22.4,18.33,8.76,18
Ada,16,2024-06-10T20:30:00+00:00,516.7,164.8,0.26,22.41,22.55,8.79,19
Ada,16,2024-06-10T20:45:00+00:00,522.2,166.7,0.27,22.47,13.01,8.79,20
Ada,16,2024-06-10T21:00:00+00:00,522.2,169.9,0.27,22.49,13.06,8.79,21
Ada,16,2024-06-10T21:15:00+00:00,521.3,170.1,0.26,22.51,28.84,8.81,22
Ada,16,2024-06-10T21:30:00+00:00,519.3,171.5,0.26,22.53,18.98,8.84,23
Ada,16,2024-06-10T21:45:00+00:00,527.9,175.7,0.27,22.55,21.76,8.81,24
Ada,16,2024-06-10T22:00:00+00:00,523.3,173.4,0.27,22.53,18.17,8.82,25
Ada,16,2024-06-10T22:15:00+00:00,525.7,174.5,0.27,22.64,14.45,8.83,26
Ada,16,2024-06-10T22:30:00+00:00,521.0,173.4,0.26,22.68,13.17,8.84,27
Ada,16,2024-06-10T22:45:00+00:00,526.7,175.0,0.27,22.55,13.26,8.85,28
Ada,16,2024-06-10T23:00:00+00:00,511.8,172.2,0.26,22.52,15.47,8.85,29
Ada,16,2024-06-10T23:15:00+00:00,516.6,173.9,0.26,22.57,25.79,8.86,30
Ada,16,2024-06-10T23:30:00+00:00,522.0,175.9,0.26,22.57,18.05,8.85,31
Ada,16,2024-06-10T23:45:00+00:00,520.2,176.0,0.26,22.71,12.56,8.87,32
Ada,16,2024-06-11T00:00:00+00:00,520.7,174.8,0.26,22.57,14.96,8.85,33
Ada,16,2024-06-11T00:15:00+00:00,521.6,175.3,0.26,22.61,32.32,8.84,34
Ada,16,2024-06-11T00:30:00+00:00,522.8,171.1,0.26,22.58,42.11,8.83,35
