measurement,deployment_id,timestamp,sensors__Cond,sensors__DOpct,sensors__Sal,sensors__Temp,sensors__Turb,sensors__lat,sensors__lon,sensors__pH,time,description
Ada,16,2023-03-13T00:00:00+00:00,565,130,0.43,6.67,11.08,41.12723333,-73.80816667,8.11,0,A significant snowstorm brought heavy snowfall and disruptions to the area
Ada,16,2023-03-13T00:15:00+00:00,565.6,129.1,0.43,6.735,11.24,41.12723333,-73.80816667,8.13,1,
Ada,16,2023-03-13T00:30:00+00:00,565.2,127.8,0.43,6.696,14.11,41.12723333,-73.80816667,8.14,2,
Ada,16,2023-03-13T00:45:00+00:00,565,128.1,0.43,6.687,24.16,41.12723333,-73.80816667,8.13,3,
Ada,16,2023-03-13T01:00:00+00:00,565.9,127.1,0.43,6.755,11.23,41.12723333,-73.80816667,8.13,4,
Ada,16,2023-03-13T01:15:00+00:00,567,126.3,0.43,6.789,15,41.12723333,-73.80816667,8.12,5,
Ada,16,2023-03-13T01:30:00+00:00,566.8,125.9,0.43,6.766,14.17,41.12723333,-73.80816667,8.11,6,
Ada,16,2023-03-13T01:45:00+00:00,567.6,126.4,0.43,6.808,13.64,41.12725,-73.80816667,8.1,7,
Ada,16,2023-03-13T02:00:00+00:00,568,125.6,0.43,6.853,9.91,41.12725,-73.80816667,8.09,8,
Ada,16,2023-03-13T02:15:00+00:00,568.6,125.2,0.43,6.89,11.11,41.12726667,-73.80816667,8.08,9,
Ada,16,2023-03-13T02:30:00+00:00,568.2,125.4,0.43,6.887,11.45,41.12725,-73.80816667,8.08,10,
Ada,16,2023-03-13T02:45:00+00:00,567.6,125.9,0.43,6.871,14.88,41.12725,-73.80816667,8.08,11,
Ada,16,2023-03-13T03:00:00+00:00,568.5,125,0.43,6.922,10.79,41.12726667,-73.80816667,8.08,12,
Ada,16,2023-03-13T03:15:00+00:00,568.3,126.3,0.43,6.906,10.64,41.12726667,-73.80816667,8.09,13,
Ada,16,2023-03-13T03:30:00+00:00,567.6,127.3,0.43,6.833,15.87,41.12725,-73.80816667,8.1,14,
Ada,16,2023-03-13T03:45:00+00:00,567.8,126.6,0.43,6.844,12.66,41.12725,-73.80816667,8.11,15,
Ada,16,2023-03-13T04:00:00+00:00,568.1,125.9,0.43,6.834,12.95,41.12725,-73.80816667,8.1,16,
Ada,16,2023-03-13T04:15:00+00:00,567.6,127.1,0.43,6.813,11.17,41.12725,-73.80816667,8.1,17,
Ada,16,2023-03-13T04:30:00+00:00,565.6,126.8,0.43,6.786,12.51,41.12725,-73.80816667,8.1,18,
Ada,16,2023-03-13T04:45:00+00:00,566.2,126.6,0.43,6.747,11.36,41.12725,-73.80816667,8.11,19,
Ada,16,2023-03-13T05:00:00+00:00,567.6,126.3,0.43,6.809,10.09,41.12725,-73.80816667,8.1,20,
Ada,16,2023-03-13T05:15:00+00:00,566.9,127.1,0.43,6.802,10.94,41.12725,-73.80816667,8.11,21,
Ada,16,2023-03-13T05:30:00+00:00,564.9,126.8,0.43,6.726,10.44,41.12726667,-73.808,8.11,22,
Ada,16,2023-03-13T05:45:00+00:00,565.8,127.9,0.43,6.746,13.58,41.12726667,-73.808,8.11,23,
Ada,16,2023-03-13T06:00:00+00:00,565.4,127.4,0.43,6.736,10.82,41.12725,-73.80816667,8.12,24,
Ada,16,2023-03-13T06:15:00+00:00,564.2,128.3,0.43,6.72,15.06,41.12725,-73.808,8.13,25,
Ada,16,2023-03-13T06:30:00+00:00,565.6,129.2,0.43,6.725,12.75,41.12725,-73.80816667,8.13,26,
Ada,16,2023-03-13T06:45:00+00:00,565.8,127.3,0.43,6.748,10.66,41.12723333,-73.808,8.13,27,
Ada,16,2023-03-13T07:00:00+00:00,568,127.8,0.43,6.807,12.03,41.12725,-73.808,8.13,28,
Ada,16,2023-03-13T07:15:00+00:00,565.6,129.1,0.43,6.795,14.03,41.12725,-73.808,8.13,29,
Ada,16,2023-03-13T07:30:00+00:00,565.1,130,0.43,6.696,11.1,41.12723333,-73.80816667,8.14,30,
Ada,16,2023-03-13T07:45:00+00:00,567,128.8,0.43,6.76,9.46,41.12725,-73.80816667,8.14,31,
Ada,16,2023-03-13T08:00:00+00:00,566.1,129,0.43,6.682,11.51,41.12726667,-73.80816667,8.14,32,
Ada,16,2023-03-13T08:15:00+00:00,566.3,127.8,0.43,6.707,9.8,41.12725,-73.80816667,8.13,33,
Ada,16,2023-03-13T08:30:00+00:00,566.2,131.1,0.43,6.718,12.83,41.12725,-73.80816667,8.14,34,
Ada,16,2023-03-13T08:45:00+00:00,568.1,128,0.43,6.742,10.05,41.12725,-73.80816667,8.14,35,
Ada,16,2023-03-13T09:00:00+00:00,567,125.9,0.43,6.722,10.09,41.12725,-73.80816667,8.12,36,
Ada,16,2023-03-13T09:15:00+00:00,568.9,127.3,0.43,6.72,14.51,41.12723333,-73.80816667,8.12,37,
Ada,16,2023-03-13T09:30:00+00:00,570.3,126.5,0.43,6.751,15.72,41.12723333,-73.80816667,8.1,38,
Ada,16,2023-03-13T09:45:00+00:00,570.5,125.9,0.43,6.7,11.78,41.12725,-73.80816667,8.09,39,
Ada,16,2023-03-13T10:00:00+00:00,567,124.4,0.43,6.697,12.19,41.12725,-73.80816667,8.08,40,
Ada,16,2023-03-13T10:15:00+00:00,567.9,123.9,0.43,6.7,14.31,41.12726667,-73.80816667,8.07,41,
Ada,16,2023-03-13T10:30:00+00:00,566.7,124.4,0.43,6.688,11.59,41.12726667,-73.80816667,8.07,42,
Ada,16,2023-03-13T10:45:00+00:00,568.3,124.1,0.43,6.708,16.11,41.12726667,-73.80816667,8.07,43,
Ada,16,2023-03-13T11:00:00+00:00,566.6,124.7,0.43,6.668,18.06,41.12726667,-73.80816667,8.07,44,
Ada,16,2023-03-13T11:15:00+00:00,566.3,125.1,0.43,6.677,12.82,41.12726667,-73.80816667,8.07,45,
Ada,16,2023-03-13T11:30:00+00:00,567.4,123.6,0.43,6.675,13.66,41.12726667,-73.80816667,8.07,46,
Ada,16,2023-03-13T11:45:00+00:00,568.3,124.8,0.43,6.683,14.68,41.12726667,-73.80816667,8.07,47,
Ada,16,2023-03-13T12:00:00+00:00,570.2,125.4,0.43,6.71,10.11,41.12726667,-73.80816667,8.06,48,
Ada,16,2023-03-13T12:15:00+00:00,569.6,123.9,0.43,6.698,10.81,41.12726667,-73.80816667,8.05,49,
Ada,16,2023-03-13T12:30:00+00:00,569.6,124.6,0.43,6.688,11.67,41.12726667,-73.80816667,8.05,50,
Ada,16,2023-03-13T12:45:00+00:00,567.4,125.1,0.43,6.664,16.4,41.12726667,-73.80816667,8.05,51,
Ada,16,2023-03-13T13:00:00+00:00,565.6,125.1,0.43,6.608,11.7,41.12726667,-73.80816667,8.05,52,
Ada,16,2023-03-13T13:15:00+00:00,566.8,125.7,0.43,6.628,9.96,41.12726667,-73.80816667,8.06,53,
Ada,16,2023-03-13T13:30:00+00:00,566.9,125.7,0.43,6.622,10.47,41.12726667,-73.808,8.06,54,
Ada,16,2023-03-13T13:45:00+00:00,567,124.4,0.43,6.618,10.04,41.12726667,-73.808,8.05,55,
Ada,16,2023-03-13T14:00:00+00:00,567.2,125,0.43,6.636,10.69,41.12725,-73.808,8.06,56,
Ada,16,2023-03-13T14:15:00+00:00,566.8,126.1,0.43,6.642,15.48,41.12726667,-73.808,8.06,57,
Ada,16,2023-03-13T14:30:00+00:00,565.3,125.4,0.43,6.599,17.44,41.12726667,-73.808,8.06,58,
Ada,16,2023-03-13T14:45:00+00:00,564.4,126.6,0.43,6.592,10.91,41.12726667,-73.80816667,8.06,59,
Ada,16,2023-03-13T15:00:00+00:00,567.9,124.9,0.43,6.624,13.3,41.12726667,-73.80816667,8.06,60,
Ada,16,2023-03-13T15:15:00+00:00,566.5,126,0.43,6.614,10.89,41.12728333,-73.80816667,8.06,61,
Ada,16,2023-03-13T15:30:00+00:00,566.6,127.1,0.43,6.642,13.68,41.12728333,-73.80816667,8.06,62,
Ada,16,2023-03-13T15:45:00+00:00,568.3,128,0.43,6.641,11.54,41.12726667,-73.80816667,8.07,63,
Ada,16,2023-03-13T16:00:00+00:00,567.9,127.2,0.43,6.65,11.64,41.12726667,-73.80816667,8.06,64,
Ada,16,2023-03-13T16:15:00+00:00,568.9,125.4,0.43,6.718,11.55,41.12725,-73.80816667,8.05,65,
Ada,16,2023-03-13T16:30:00+00:00,571.1,124.6,0.43,6.758,15.64,41.12725,-73.80816667,8.03,66,
Ada,16,2023-03-13T16:45:00+00:00,571.5,125.4,0.43,6.711,13.07,41.12725,-73.80816667,8.03,67,
Ada,16,2023-03-13T17:00:00+00:00,573.2,126.5,0.43,6.714,16.03,41.12725,-73.80816667,8.03,68,
Ada,16,2023-03-13T17:15:00+00:00,570.6,126.1,0.43,6.739,12.99,41.12725,-73.80816667,8.02,69,
Ada,16,2023-03-13T17:30:00+00:00,574.9,125.5,0.43,6.822,11.57,41.12725,-73.80816667,8,70,
Ada,16,2023-03-13T17:45:00+00:00,578.3,124.6,0.44,6.942,24.29,41.12725,-73.80816667,7.98,71,
Ada,16,2023-03-13T18:00:00+00:00,577.9,124.9,0.44,6.894,20.66,41.12725,-73.80816667,7.96,72,
Ada,16,2023-03-13T18:15:00+00:00,576.6,125.2,0.43,6.889,13.09,41.12725,-73.80816667,7.95,73,
Ada,16,2023-03-13T18:30:00+00:00,577.7,125.6,0.44,6.902,18.24,41.12725,-73.80816667,7.95,74,
Ada,16,2023-03-13T18:45:00+00:00,577.4,126.3,0.43,6.955,15.76,41.12725,-73.80816667,7.96,75,
Ada,16,2023-03-13T19:00:00+00:00,576.7,125.4,0.43,6.981,13.61,41.12723333,-73.80816667,7.96,76,
Ada,16,2023-03-13T19:15:00+00:00,578.2,125.9,0.43,6.971,11.21,41.12725,-73.80816667,7.96,77,
Ada,16,2023-03-13T19:30:00+00:00,578.8,125.8,0.43,7.025,18.99,41.12726667,-73.80816667,7.96,78,
Ada,16,2023-03-13T19:45:00+00:00,578.6,126.1,0.43,7.036,16.7,41.12728333,-73.80816667,7.96,79,
Ada,16,2023-03-13T20:00:00+00:00,579.3,125.8,0.44,7.02,17.81,41.12728333,-73.80816667,7.96,80,
Ada,16,2023-03-13T20:15:00+00:00,578.4,126.1,0.43,6.978,20.77,41.12728333,-73.80816667,7.96,81,
Ada,16,2023-03-13T20:30:00+00:00,576.4,126.8,0.43,6.958,12.35,41.12726667,-73.80816667,7.97,82,
Ada,16,2023-03-13T20:45:00+00:00,579.3,126.9,0.44,7.028,13.76,41.12726667,-73.80816667,7.97,83,
Ada,16,2023-03-13T21:00:00+00:00,579.9,127.5,0.44,7.056,15.01,41.12726667,-73.80816667,7.98,84,
Ada,16,2023-03-13T21:15:00+00:00,580.3,127.7,0.44,7.067,12.03,41.12726667,-73.80816667,7.99,85,
Ada,16,2023-03-13T21:30:00+00:00,578.5,127.1,0.43,6.999,19.12,41.12726667,-73.80816667,7.99,86,
Ada,16,2023-03-13T21:45:00+00:00,579,128.2,0.43,7.055,18.69,41.12725,-73.80816667,8,87,
Ada,16,2023-03-13T22:00:00+00:00,578.5,127.9,0.43,7.065,10.29,41.12725,-73.80816667,8,88,
Ada,16,2023-03-13T22:15:00+00:00,579.1,127.8,0.43,7.06,17.9,41.12725,-73.80816667,8.01,89,
Ada,16,2023-03-13T22:30:00+00:00,578,127.1,0.43,7.047,12.32,41.12725,-73.80816667,8.02,90,
Ada,16,2023-03-13T22:45:00+00:00,579.2,127.6,0.43,7.055,10.2,41.12725,-73.80816667,8.02,91,
