measurement,deployment_id,timestamp,sensors__Cond,sensors__DOpct,sensors__Sal,sensors__Temp,sensors__Turb,sensors__pH,description
Alan,17,2023-05-14T00:00:00+00:00,585,134.1,0.33,18.22,9.21,7.74,Spring
Alan,17,2023-05-14T00:15:00+00:00,586,129.6,0.33,18.24,9.29,7.71,
Alan,17,2023-05-14T00:30:00+00:00,586.6,128.5,0.33,18.25,11.31,7.69,
Alan,17,2023-05-14T00:45:00+00:00,583.7,136.6,0.33,18.23,12.76,7.73,
Alan,17,2023-05-14T01:00:00+00:00,584.6,131.3,0.33,18.25,9.21,7.75,
Alan,17,2023-05-14T01:15:00+00:00,583.9,134.7,0.33,18.24,10.46,7.78,
Alan,17,2023-05-14T01:30:00+00:00,582.7,137.4,0.33,18.28,28.26,7.8,
Alan,17,2023-05-14T01:45:00+00:00,581.4,136.6,0.33,18.25,19.68,7.81,
Alan,17,2023-05-14T02:00:00+00:00,584.7,136.4,0.33,18.23,11.06,7.83,
Alan,17,2023-05-14T02:15:00+00:00,583.3,137.7,0.33,18.21,34.05,7.83,
Alan,17,2023-05-14T02:30:00+00:00,586.9,134.3,0.33,18.27,18.44,7.8,
Alan,17,2023-05-14T02:45:00+00:00,589.7,142.9,0.33,18.22,20.39,7.76,
Alan,17,2023-05-14T03:00:00+00:00,589.3,136.8,0.33,18.24,21.23,7.73,
Alan,17,2023-05-14T03:15:00+00:00,593.8,136.6,0.33,18.26,22.46,7.71,
Alan,17,2023-05-14T03:30:00+00:00,595.1,135.2,0.33,18.21,21.09,7.67,
Alan,17,2023-05-14T03:45:00+00:00,598.8,129.9,0.34,18.21,16.95,7.61,
Alan,17,2023-05-14T04:00:00+00:00,600,118.2,0.34,18.16,21.52,7.56,
Alan,17,2023-05-14T04:15:00+00:00,606.7,112.3,0.34,18.19,15.48,7.51,
Alan,17,2023-05-14T04:30:00+00:00,609,110,0.34,18.19,24.91,7.49,
Alan,17,2023-05-14T04:45:00+00:00,610,115.6,0.34,18.17,53.98,7.48,
Alan,17,2023-05-14T05:00:00+00:00,606.6,111.2,0.34,18.15,38.97,7.47,
Alan,17,2023-05-14T05:15:00+00:00,609.4,111,0.34,18.17,20.58,7.47,
Alan,17,2023-05-14T05:30:00+00:00,607.1,111.3,0.34,18.05,11.02,7.46,
Alan,17,2023-05-14T05:45:00+00:00,605.9,108,0.34,18.01,24.53,7.47,
Alan,17,2023-05-14T06:00:00+00:00,604.9,106.8,0.34,18,10.04,7.47,
Alan,17,2023-05-14T06:15:00+00:00,603.2,105.5,0.34,17.93,9.66,7.48,
Alan,17,2023-05-14T06:30:00+00:00,605.1,103.2,0.34,17.94,19.28,7.47,
Alan,17,2023-05-14T06:45:00+00:00,603.3,100.1,0.34,17.92,10.56,7.47,
Alan,17,2023-05-14T07:00:00+00:00,600.3,106,0.34,17.9,99.9,7.51,
