measurement,deployment_id,timestamp,sensors__Cond,sensors__DOpct,sensors__Sal,sensors__Temp,sensors__Turb,sensors__lat,sensors__lon,sensors__pH,description
Alan,17,2023-02-14T00:00:00+00:00,464.3,131.3,0.35,6.311,3.2,41.12781667,-73.808,7.66,Winter
Alan,17,2023-02-14T00:15:00+00:00,463.7,132.5,0.35,6.375,2.93,41.12781667,-73.808,7.65,
Alan,17,2023-02-14T00:30:00+00:00,462.2,133.3,0.35,6.323,2.91,41.12781667,-73.808,7.67,
Alan,17,2023-02-14T00:45:00+00:00,461.6,133.4,0.35,6.302,3.25,41.12781667,-73.808,7.67,
Alan,17,2023-02-14T01:00:00+00:00,462.6,133.3,0.35,6.314,3.3,41.12781667,-73.808,7.67,
Alan,17,2023-02-14T01:15:00+00:00,462.3,132.7,0.35,6.296,3.27,41.12781667,-73.808,7.67,
Alan,17,2023-02-14T01:30:00+00:00,462.4,132.9,0.35,6.301,3.24,41.12781667,-73.808,7.67,
Alan,17,2023-02-14T01:45:00+00:00,461.8,133,0.35,6.311,3.24,41.12781667,-73.808,7.67,
Alan,17,2023-02-14T02:00:00+00:00,462.8,133.1,0.35,6.339,2.9,41.12781667,-73.808,7.68,
Alan,17,2023-02-14T02:15:00+00:00,464.6,132.7,0.35,6.342,4.8,41.12781667,-73.808,7.67,
Alan,17,2023-02-14T02:30:00+00:00,468.5,134.2,0.36,6.389,3.14,41.12781667,-73.808,7.68,
Alan,17,2023-02-14T02:45:00+00:00,463.1,133.5,0.35,6.467,2.95,41.12781667,-73.808,7.68,
Alan,17,2023-02-14T03:00:00+00:00,464.5,133.6,0.35,6.428,2.88,41.12781667,-73.808,7.69,
Alan,17,2023-02-14T03:15:00+00:00,463.6,134.3,0.35,6.472,2.73,41.12781667,-73.808,7.69,
Alan,17,2023-02-14T03:30:00+00:00,463.5,132.9,0.35,6.427,2.72,41.12781667,-73.808,7.69,
Alan,17,2023-02-14T03:45:00+00:00,468.4,127.5,0.35,6.506,2.72,41.12781667,-73.808,7.67,
Alan,17,2023-02-14T04:00:00+00:00,468.1,126.2,0.35,6.508,2.68,41.12781667,-73.808,7.6,
Alan,17,2023-02-14T04:15:00+00:00,476.1,119,0.36,6.618,2.85,41.12781667,-73.808,7.54,
Alan,17,2023-02-14T04:30:00+00:00,477,120.2,0.36,6.609,2.91,41.12781667,-73.808,7.46,
Alan,17,2023-02-14T04:45:00+00:00,476.8,124,0.36,6.583,2.86,41.12781667,-73.808,7.5,
Alan,17,2023-02-14T05:00:00+00:00,472.2,121.2,0.36,6.549,2.89,41.12781667,-73.808,7.5,
Alan,17,2023-02-14T05:15:00+00:00,468.2,127.8,0.35,6.479,2.88,41.12781667,-73.808,7.57,
Alan,17,2023-02-14T05:30:00+00:00,469.5,123.3,0.36,6.433,2.87,41.12781667,-73.808,7.6,
Alan,17,2023-02-14T05:45:00+00:00,466.4,114.7,0.36,6.202,3.72,41.12781667,-73.808,7.57,
Alan,17,2023-02-14T06:00:00+00:00,466.1,113.5,0.36,6.164,3.69,41.12781667,-73.808,7.54,
Alan,17,2023-02-14T06:15:00+00:00,465.1,113.6,0.36,6.124,3.71,41.12781667,-73.808,7.5,
Alan,17,2023-02-14T06:30:00+00:00,464.5,117,0.36,6.056,3.67,41.12781667,-73.808,7.51,
Alan,17,2023-02-14T06:45:00+00:00,464.8,120.9,0.36,6.161,3.21,41.12781667,-73.808,7.55,
Alan,17,2023-02-14T07:00:00+00:00,464.5,122.5,0.36,6.087,3.13,41.12781667,-73.808,7.57,
Alan,17,2023-02-14T07:15:00+00:00,464.7,114,0.36,6.012,3.6,41.12781667,-73.808,7.54,
Alan,17,2023-02-14T07:30:00+00:00,464.7,116.6,0.36,5.951,4.16,41.12781667,-73.808,7.56,
Alan,17,2023-02-14T07:45:00+00:00,463.7,119.6,0.36,6.012,3.2,41.12781667,-73.808,7.58,
Alan,17,2023-02-14T08:00:00+00:00,463.6,122,0.36,6.021,3.2,41.12781667,-73.808,7.59,
Alan,17,2023-02-14T08:15:00+00:00,463.2,120.6,0.36,5.946,3.21,41.12781667,-73.808,7.6,
Alan,17,2023-02-14T08:30:00+00:00,462.9,118.2,0.36,5.911,3.21,41.12781667,-73.808,7.57,
Alan,17,2023-02-14T08:45:00+00:00,462.9,113,0.36,5.785,3.12,41.12781667,-73.808,7.54,
Alan,17,2023-02-14T09:00:00+00:00,463.9,121,0.36,5.92,3.98,41.12781667,-73.808,7.55,
Alan,17,2023-02-14T09:15:00+00:00,463.2,109.3,0.36,5.693,3.53,41.12781667,-73.808,7.51,
Alan,17,2023-02-14T09:30:00+00:00,462.9,111.1,0.36,5.727,3.14,41.12781667,-73.808,7.49,
Alan,17,2023-02-14T09:45:00+00:00,462.4,113.6,0.36,5.708,3.25,41.12781667,-73.808,7.49,
Alan,17,2023-02-14T10:00:00+00:00,462.4,112.6,0.36,5.694,3.25,41.12781667,-73.808,7.48,
Alan,17,2023-02-14T10:15:00+00:00,463.6,109,0.36,5.613,3.18,41.12781667,-73.808,7.48,
Alan,17,2023-02-14T10:30:00+00:00,462.1,108,0.36,5.523,3.2,41.12781667,-73.808,7.46,
Alan,17,2023-02-14T10:45:00+00:00,462.9,109.1,0.36,5.587,3.13,41.12781667,-73.808,7.46,
