measurement,timestamp,Salinity,pH,Temperature(F),Turbidity,Dissolved Oxygen,Conductivity,sensors/Temp
Ada,4/16/2022,0.21,8.47,20.58,9.59,151.8,405.3,13.87
Ada,4/17/2022,0.21,8.63,20.53,10.25,163.1,407.5,14.1
Ada,4/18/2022,0.21,8.7,20.6,9.78,163.9,404.4,12.75
Ada,4/19/2022,0.21,8.77,20.6,9.35,165,395.2,10.37
Ada,4/20/2022,0.21,8.72,20.6,9.03,165.1,403.7,9.36
Ada,4/21/2022,0.21,8.59,20.72,8.37,156.8,404.3,9.7
Ada,4/22/2022,0.21,8.64,20.59,8.75,153.7,400.5,10.79
Ada,4/23/2022,0.21,8.63,20.57,8.31,155.8,402.7,11.4
Ada,4/24/2022,0.21,8.45,20.64,7.92,149.7,399.8,12.28
Ada,4/25/2022,0.21,8.45,20.73,8.06,152.3,403.5,12.94
Ada,4/26/2022,0.21,8.46,20.76,7.5,146.8,409.1,12.86
Ada,4/27/2022,0.21,8.47,20.63,8.14,147.7,406.1,13.25
Ada,4/28/2022,0.21,8.39,20.63,7.85,156.2,398.1,13.13
Ada,4/29/2022,0.21,8.3,20.6,7.92,147.1,401.2,12.39
Ada,4/30/2022,0.21,8.25,20.58,7.77,144.7,401.5,12.26
Ada,5/1/2022,0.21,8.27,20.64,7.93,143.2,400.9,12.87
Ada,5/2/2022,0.21,8.21,20.66,7.68,142.7,399.9,13.41
Ada,5/3/2022,0.21,8.22,20.62,7.78,144.1,400.5,13.47
Ada,5/4/2022,0.21,8.16,20.6,7.84,141.6,396.8,13.74
Ada,5/5/2022,0.21,8.15,20.57,7.85,140.2,403.5,13.96
Ada,5/6/2022,0.21,8.11,20.57,7.65,135.5,405.7,14.51
Ada,5/7/2022,0.21,8.1,20.53,7.97,139.1,405.6,14.15
Ada,5/8/2022,0.21,8.08,20.55,8.13,132.4,406,12.91
Ada,5/9/2022,0.22,8.05,20.61,9.7,134.9,413.6,12.75
Ada,5/10/2022,0.22,8.07,20.66,9.07,140.6,413.7,12.99
Ada,5/11/2022,0.22,8.06,20.56,10.07,135.6,409.7,13.57
Ada,5/12/2022,0.22,8.06,20.61,9.76,134.8,413,14.2
Ada,5/13/2022,0.22,8.02,20.59,9.76,134.9,411.5,14.82
Ada,5/14/2022,0.22,8.04,20.59,9.69,131,410,15.47
Ada,5/15/2022,0.22,8.03,20.59,8.84,128.4,411.1,15.99
Ada,5/16/2022,0.22,8.02,20.58,8.55,74.83,412.4,16.67
Ada,5/17/2022,0.22,8.01,20.54,8.69,128.9,410.3,17.17
Ada,5/18/2022,0.22,8.02,20.52,8.35,134.9,409.1,17.21
